name,email,phone,children
Ali Hassan,ali.hassan@email.com,+1234567890,Ahmed Ali;Aliaa Ali;Ibrahim Ali
Fatima Omar,fatima.omar@email.com,+1234567891,Reem Omaran;Amina Omaran;Mahmoud Omaran
Mohammed Ibrahim,mohammed.ibrahim@email.com,+1234567892,Ali Mohammed;Aisha Mohammed;Nada Mohammed
Aisha Khalid,aisha.khaled@email.com,+1234567893,Khadeja Khalil;Hala Khalil;Sara Khalil
Omar Ahmed,omar.ahmed@email.com,+1234567894,Omran Omar;Layla Omar;Zainab Omar;Nada Omar;Tariq Omar
Youssef Hassan,youssef.hassan@email.com,+1234567896,Yaser Youssef;Tariq Youssef;Zainab Youssef
Nouran Ali,nouran.ali@email.com,+1234567897,Noura Adam;Khalid Adam
Khalid Omar,khalid.omar@email.com,+1234567898,Aser Khalid;Mahmoud Khalid
Mariam Ibrahim,mariam.ibrahim@email.com,+1234567899,Malk Ibrahim;Sara Ibrahim
Ahmed Ibrahim,ahmed.ibrahim@email.com,+1234567900,Aisha Ibrahim;Hassan Ibrahim;Hala Ibrahim;Khalil Ibrahim;Tala Ibrahim
